Hot Job?,Job,Salary,Location,Details
normal job,"2 PHP Web Dev (Wordpress, JavaScript)",Thỏa thuận,"Ha Noi, Cau Giay",Xây dựng các webshop/ website trên nền tảng Wordpress/PHP/Magento (sẽ đào tạo Mangento) Xử lý lỗi và tối ưu hóa vận hành cho các tính năng hiện có Tạo...
normal job,"Frontend Dev (ReactJS, JavaScript)~$2000",Up to $2000,"Ha Noi, Cau Giay","NEED TO URGENT WORK FROM MID OF AUGUST Work directly with customer to define, clarify requirement. Work closely with world class developers from..."
normal job,Full Stack Developer (JavaScript/NodeJS),You'll love it,"Ha Noi, Cau Giay",PROJECT INFORMATION & OPPORTUNITY FPT Software Hanoi is looking for 03 Full stack developers to help us build modern data-intensive web...
normal job,Lập Trình viên Angular (Javascript/.Net),You'll love it,"Ha Noi, Ho Chi Minh",• Lập trình các công việc về mặt full stack của hệ thống nghiệp vụ hoặc ứng dụng (web application) theo yêu cầu. • Các giải pháp phần mềm quản lý chia...
normal job,[NhacCuaTui.com] Java Developer,"800 - 1,200 USD","Ho Chi Minh, District 10",Có kinh nghiệm phát triển sản phẩm trên nền công nghệ Java (ít nhất 2 năm nhưng nếu chưa đủ 2 năm ... Hoặc là bạn Good và tự tin hãy apply. Cơ hội...
normal job,Senior Frontend Developer (JavaScript),You'll love it,"Ha Noi, Ho Chi Minh","Your job is to push the boundaries of excellent front-end development, using the latest web technologies: Build responsive and interactive websites,..."
normal job,Junior Web Developer (ReactJS / Python),Up to 800 usd,"Ho Chi Minh, Binh Thanh","Build performant, scalable, highly available, fault tolerant trading products"
normal job,"NodeJS Dev (JavaScript, AWS, Agile)","800 - 1,500 USD","Ha Noi, Da Nang","- Tham gia phát triển ứng dụng web cho khách hàng Nhật Bản. - Phân tích yêu cầu hệ thống, thiết kế hệ thống, thiết kế database. - Phối hợp chặt chẽ với..."
normal job,"SOFTWARE DEVELOPER (JavaScript, JQuery)",You'll love it,"Ho Chi Minh, Tan Binh","- Thiết kế và phát triển những ứng dụng, modules cho các dịch vụ Cloud - Cùng với Trưởng nhóm thảo luận và tìm kiếm giải pháp cho các vấn đề hằng ngày -..."
normal job,"Full Stack Dev (PHP, Golang)",Competitive,"Ho Chi Minh, District 4",ZALORA is seeking a full-time Software Engineer to work on its cutting edge software stack. This opportunity will offer you a chance to work on a high...
normal job,"Backend Developer (NodeJS, JavaScript)",You'll love it,"Ho Chi Minh, Binh Thanh",We are Amanotes! A fast-growing startup in the music-tech industry from Vietnam. We seek to delight people with interactive music experiences. Since...
normal job,"Back-End Developer (Ruby on Rails, AWS)","2,000 - 3,000 USD","Ho Chi Minh, District 10",Working experience with Ruby on Rails development process in an agile environment and the ability to create apps following the user requirements....
normal job,ADTech Support (HTML5/CSS),You'll love it,"Ho Chi Minh, District 1","Cấu hình quảng cáo, lên demo format, và hỗ trợ các vấn đề kỹ thuật trong quảng cáo Display Ads trên các website."
normal job,"10 Java Developers (JavaScript, Spring)",You'll love it,"Ha Noi, Nam Tu Liem","Tham gia các dự án phần mềm thuộc các lĩnh vực quản trị doanh nghiệp (ERP), viễn thông, tài chính, ngân hàng… với các đối tác Nhật Bản và Việt Nam. Công..."
normal job,Project Manager (JavaScript/HTML5/CSS),You'll love it,"Ha Noi, Hoang Mai",Phát triển và maintain các hệ thống web application về lĩnh vực quản lý y tế và các project ERP cho doanh nghiệp vừa và nhỏ.
normal job,Project Manager (PHP/JavaScript/English),You'll love it,"Ho Chi Minh, Da Nang","You will be joining an awesome team to build cool applications that serve millions of users, from idea to production. As our customers are typically..."
normal job,05 Junior/Middle Java Dev (upto~1800$),"500 - 1,800 USD","Ha Noi, Nam Tu Liem","Phát triển các dự án cho khách hàng trong nước và nước ngoài về hệ thống thương mại điện tử, sàn giao dịch tiền ảo, hệ thống..."
normal job,Web Frontend Dev (CSS/Angular) ~ 1800$,Up to $1800,"Ha Noi, Cau Giay","Research product's function Develop new functions, maintain current function Develop new user-facing features Build reusable code and libraries for..."
normal job,PHP Developer,You'll love it,"Ho Chi Minh, Tan Binh","We promise offer the very attractive and flexible packages for employees in order to looking for talented, dynamic and skilled people to contribute to..."
normal job,Frontend Developer (Html/CSS/Javascript),"700 - 1,200 USD","Ho Chi Minh, District 1","Responsibilities   Convert PSD file into HTML-CSS layout Communicate with product owner, developer and tester to solve problems in reasonable time Get..."
normal job,"Fullstack Developer (.Net, Angular, ERP)",Up to 1500 usd,"Ho Chi Minh, Phu Nhuan","Our company motto is to keep building a stronger and a better company, provide better services to customers and create a better-balanced work-life for..."
normal job,"Lập Trình Viên PHP (Javascript, HTML5)",10 - 15 tr,"Ha Noi, Thanh Xuan","Chúng tôi đang cần tuyển vị trí Lập trình viên PHP Tham gia xây dựng, phát triển các website sản phẩm, dịch vụ, tin tức. Xử lý các lỗi phát sinh trong..."
normal job,"Java Developer (NodeJS, JavaScript)",You'll love it,"Ha Noi, Hoan Kiem",- Collect requirement detail from user department and preparing the requirement specification for the signoff. This is required for those requests...
normal job,"Backend Developer (PHP, C#, JavaScript)",You'll love it,"Ho Chi Minh, Phu Nhuan","Phát triển các dịch vụ Backend cho ứng dụng Mobile, Website Phát triển ứng dụng quản lý tập đoàn, ứng dụng Backend cho IoT, ứng dụng Realtime Tối ưu hóa..."
normal job,Web Developer (Java/JavaScript/CSS),"500 - 1,000 USD","Ha Noi, Cau Giay","Phát triển sản phẩm/giải pháp của công ty: Quản lý công việc/dự án, CRM, HRM, …. Tham gia thiết kế sản phẩm phần mềm về địa chính, quản lý doanh..."
normal job,Ruby on Rails Developer (up to $3000),You'll love it,"Ho Chi Minh, Tan Binh",You will be part of a hand-picked team developing an enterprise SaaS platform for sales community. It is being used by hundreds of top tech companies...
normal job,"Web Developer (Wordpress, HTML5, PHP)","600 - 1,100 USD","Ho Chi Minh, Binh Thanh",Lập trình website tương thích với các thiết bị và trình duyệt khác nhau (bao gồm cả wordpress theme và html page) dựa theo thiết kế từ designer. Cắt...
normal job,"Javascript Dev (React Native, Python)",You'll love it,"Ha Noi, Nam Tu Liem",- Xây dựng website bán hàng sử dụng React/React Native - Thực hiện bảo trì và nâng cấp website - Thực hiện bảo trì và nâng cấp các sản phẩm dịch vụ của...
normal job,[Remote/Onsite] Java Developer (J2EE),"Up to $2,000","Ha Noi, Cau Giay","We are RELYON IT SERVICES, one of the fastest growing IT companies on the Polish and Vietnamese market.  We are now seeking for Back-end Java Developer..."
normal job,Senior Python Developer,You'll love it,"Ho Chi Minh, Ho Chi Minh",Your key responsibilities Love Coding Follow Your Passion Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients Take Your...
normal job,"Fulltime Developer (C#, .NET)",You'll love it,"Ho Chi Minh, Binh Thanh","Build, enhance and maintain existing Web application systems Integrate with third party system Perform detailed technical analysis and design Meet..."
normal job,Senior ReactJS/NodeJS Developer,You'll love it,"Ha Noi, Thanh Xuan","●  Tham gia vào các dự án outsource với khách hàng Nhật ●  Tham gia phân tích requirement, thiết kế hệ thống cùng với Team Leader,..."
normal job,"Front-End Developer (JavaScript,ReactJS)","600 - 1,000 USD","Ha Noi, Nam Tu Liem","Thiết kế và triển khai front-end code của các ứng dụng web đa nền tảng Javascript bằng cách sử dụng framework/ngôn ngữ mới như React (js, native,..."
normal job,Senior Backend Dev (NodeJS) Up to $3000,Up to $3000,"Ho Chi Minh, District 3",Contemi Vietnam is looking for Senior Backend Developer  Design and implement API endpoints for microservices.. Follow best practices and produce high...
normal job,"Sr. NodeJS Developer (JS, English)","1,200 - 1,800 USD","Ho Chi Minh, Ha Noi",This position will take a leading role using NodeJS for web development activities to gain the high level of satisfaction from Bocasay's customers. If...
normal job,Senior ReactJS Developer (up to $3000),You'll love it,"Ho Chi Minh, Tan Binh",What you will do You will be part of a hand-picked team developing an enterprise SaaS platform for sales community. It is being used by hundreds of...
normal job,Ruby on Rails Developer,You'll love it,"Ho Chi Minh, Tan Binh",Build-up and work on the products that makes worldwide shipping & logistics industries more efficient and effective Receive requirements as User...
normal job,2 x Salesforce Dev (JavaScript/HTML5),"1,100 - 3,000 USD","Ho Chi Minh, District 11",We have exciting opportunities for 2 x Salesforce Developers to join our dynamic team and support the implementation of the Salesforce platform for our...
normal job,"Frontend Web Dev (JavaScript,HTML5,CSS)",You'll love it,"Ho Chi Minh, District 1",We are a HESaaS industry leader in creating a new world of omni-channel marketing and financial services vending network designed to [re]meet retail...
normal job,"Senior Backend Developer (NodeJS, Ruby)",You'll love it,"Ho Chi Minh, Phu Nhuan","The Senior Backend Engineer (SBE) designs complex backend technology solutions, develops code, and tests and maintains new and existing systems. As part..."
normal job,Fullstack NodeJS Developer (JavaScript),You'll love it!,"Ho Chi Minh, District 1","Collaboration with other developers, determine effective programming architectures, development strategies, and infrastructure. have a mind to try to..."
normal job,FullStack Javascript Developer,You'll love it,"Ho Chi Minh, District 1",Reporting to the Project Manager and Tech Lead. Liaising with the key stakeholders of the project. Delivering fully implemented vertical feature sets...
normal job,"Frontend Developer(JavaScript,HTLM5,CSS)",You'll love it,"Ha Noi, Hai Ba Trung","Tham gia phát triển sản phẩm, xây dựng các chức năng front-end của Web application Phối hợp với back-end developer và web designer để cải thiện tính khả..."
normal job,10 Web Developers (Java/.NET/JavaScript),You'll love it,"Ho Chi Minh, Tan Binh","  Tham gia phân tích thiết kế hệ thống, thiết kế Database, thiết kế chi tiết Tham gia lập trình, kiểm thử sản phẩm với ngôn ngữ .NET - JAVA Làm việc..."
normal job,"Frontend Dev (JavaScript, HTML5, CSS)","500 - 1,000 USD","Ha Noi, Cau Giay",- Tham gia phát triển ứng dụng web cho khách hàng Nhật Bản. - Xử lý cắt giao diện chuyển đổi từ bản thiết kế sang html/css/javascript. - Phối hợp chặt...
normal job,"Sr. Fullstack Engineer, Scale team",You'll love it,"Ho Chi Minh, District 4","As a senior engineer for the Scale squad, you own one of the most important strategic goals for the organization: how to scale deploying our products to..."
normal job,Web Development Lead (Angular/ReactJS),"800 - 2,000 USD","Ho Chi Minh, Tan Binh","We are seeking front-end team leader to join our outsourcing projects for Singapore clients. As a Leader at User, you are granted the opportunity to..."
normal job,"Junior Developer (Linux,SQL,JavaScript)",Up to 700$!,"Ho Chi Minh, District 10","Be a member of a dedicated tea m Program new scripts to crawl new sites, new strategies to overcome technical difficulties (IP blocked, encrypted..."
normal job,"Frontend Engineer (ReactJS, VueJS)",You'll love it,"Ho Chi Minh, District 3","Position Summary  We are looking for bright, creative, self-starting engineers with broad experience developing and optimizing UX/UI for web..."
normal job,Senior ReactJS Developer (JavaScript),"1,000 - 1,500 USD","Ha Noi, Thanh Xuan","Tham gia phân tích, thiết kế và phát triển các sản phẩm của công ty. Nghiên cứu công nghệ mới, áp dụng cải tiến sản phẩm. Hỗ trợ các bộ phận khác, khách..."
normal job,Senior Frontend ReactJS Dev (JavaScript),You'll love it,"Ho Chi Minh, District 1",We are looking for an experienced Senior Frontend Software Engineer specialized in ReactJS in Ho Chi Minh City. We have many upcoming opportunities with...
normal job,"Senior Fullstack Developer (Java,Spring)",You'll love it,"Ho Chi Minh, Tan Binh","Cooperate to build new product through researches at high levels using modern technology such as AI, Blockchain and RPA.  Responsibilities: Software..."
normal job,"10 Software Dev (ASP.NET, JavaScript)","500 - 1,100 usd","Ha Noi, Hoang Mai","Lập trình các module, project được giao; Cộng tác với các thành viên khác trong nhóm; Thực hiện các công việc khác do Trưởng nhóm phân công; Báo cáo kết..."
normal job,"2 Full-stack Developers (.NET, NodeJS)",Thỏa thuận theo năng lực,"Ho Chi Minh, Binh Thanh",Smartlog là start-up Việt Nam tiên phong về phát triển các giải pháp công nghệ thông tin phục vụ cho hoạt động vận hành logistics. Với đội ngũ chuyên...
normal job,Senior Odoo Developer-Salary Up to $2000,"1,000 - 2,000 USD","Ho Chi Minh, District 10","Design and develop Odoo apps (new module development, customization). Experience in Report generation, QWEB Custom form design & Implementation...."
normal job,"PHP Developer (MySQL, Javascript)",You'll love it,"Ha Noi, Thanh Xuan","GoBig Group (GBG) đang cần tuyển vị trí PHP Developer. Số lượng: 2 người Xây dựng, phát triển hệ thống CRM cho công ty và các hệ thống phụ trợ. Tối ưu..."
normal job,"Fullstack Dev (Java,JavaScript,ReactJS)","600 - 1,300 USD","Ha Noi, Cau Giay","- Tham gia phát triển sản phẩm, các hệ thống phân tích dữ liệu mạng xã hội, dữ liệu. - Tham gia phát triển các dự án, sản phẩm của công ty của công ty...."
normal job,"Frontend Dev (JavaScript, HTML5, CSS)",Attractive,"Ha Noi, Cau Giay",Trao đổi cụ thể trong quá trình phỏng vấn
normal job,06 Full-stack Devs (Junior + Senior),You'll love it,"Ho Chi Minh, Tan Binh","We are looking for 6 full stack developers, including Junior to Senior As a Full Stack Developer, your daily responsibilities will include: Analyze..."
normal job,"Sr Fullstack Developer (NodeJS, ReactJS)",20 mil - 30 mil,"Ha Noi, Hoang Mai","Chi tiết công việc sẽ trao đổi khi phỏng vấn. Các skills chính khi làm việc: ReactJS, Boostrap, EJS, NodeJS, C++, ChartJS, Dapp, ExpressJS, MongoDB,..."
normal job,"Front-end dev (HTML5, CSS3, JavaScript)",Upto 20mil,"Ha Noi, Cau Giay","Tham gia các dự án outsource phát triển web application, website cho khách hàng."
normal job,Java Web Developer,You'll love it,"Ho Chi Minh, Tan Binh","Will be trained and work on Oracle, Java Spring, mobile, 2D, 3D Collaborating with PM, BA, QC and other developers to ensure highest quality of products..."
normal job,"Frontend Developer (JavaScript,HTML,CSS)",You'll love it,"Ho Chi Minh, District 1",Implement a frontend for web applications with modern technologies (HTML5/ CSS3/ JS...) and framework (angularjs/ vuejs/ reactjs…) ; Improve the...
normal job,Software Engineer (PHP),You'll love it,"Ho Chi Minh, Phu Nhuan","Chúng tôi - SOT  đang tuyển kỹ sư PHP cho công ty mới thành lập. Tại SOT, mỗi cá nhân  được phân công và toàn quyền đối với những dự án, công việc được..."
normal job,"Web Dev (PHP, JavaScript)","900 - 2,000 USD","Ha Noi, Tay Ho","Why join Offspring? Offspring is a boutique digital production studio, founded by an Australian Technical Director, that works with Australian and US..."
normal job,"PHP Developers (Laravel, JavaScript)",I love it,"Ho Chi Minh, District 12","Developing Web Applications such as pos system, ecommerce based on the open source (PHP, MySQL). Using: PHP, Laravel, MySQL, React JS, HTML, CSS......"
normal job,URGENT - 20 Java Web Developers,You'll love it,"Ho Chi Minh, Tan Binh","*** ONLINE INTERVIEW - To protect our candidates’ and interviewers’ health and wellbeing from Covid-19 pandemic, we will be conducting all interviews..."
normal job,Senior ReactJS Developer (Up to $2500),"1,500 - 2,500 USD","Ho Chi Minh, District 12",Responsibilities We are looking for a great JavaScript developer who is proficient with React.js. You will be one of the key contributors in our...
normal job,Staff/Senior Software Dev Engineer,You'll love it,"Ho Chi Minh, Phu Nhuan",Department: Software Engineering Reporting to: Software Engineering Manager Job Purpose: Full-stack Application Developer Candidate Profile:...
normal job,Senior NodeJS Developer,Up to 2.000 usd,"Ho Chi Minh, Tan Binh","Practical knowledge in programming to dictate the security standards, design specifications, checking compliance, and maintaining technical..."
normal job,"Frontend Dev (ReactJS, JavaScript)~$2000",Up to $2000,"Ha Noi, Cau Giay","Work directly with customer to define, clarify requirement. Work closely with world class developers from customer side to develop enterprise..."
normal job,"Web PHP Developer (HTML5, JavaScript)",500 - 900 USD,"Ho Chi Minh, Binh Thanh","Tự phân tích viết code và phát triển source web & database theo yêu cầu của công ty Xây dựng HTML cho website từ hình mô tả, và yêu cầu công việc...."
normal job,JavaScript Developer (NodeJS/ReactJS),You'll love it,"Ho Chi Minh, Da Nang","- Phân tích, thiết kế, xây dựng & phát triển các ứng dụng Scalable Web Application / Service bằng ngôn ngữ Javascript (NodeJS/ReactJS)"
normal job,Frontend (ReactJS/ Javascript ) ~ 2000$,"1,200 - 2,000 USD","Ha Noi, Cau Giay",About us: Nobee will match renters with his/her next home and help find the dream roommates without having to pay an exorbitant amount of broker fee....
normal job,"Tech Lead (PHP, JavaScript)",You'll love it,"Ho Chi Minh, Da Nang","You will be joining an awesome startup team to build cool applications that serve millions of users, from idea to production. As our customers are..."
normal job,Fullstack Dev (NodeJS/ReactJS),You'll love it,"Ho Chi Minh, Phu Nhuan","If you are responsible, passionate, disciplined, willing to learn, and interested in building a wonderful product from scratch. This is the job for you...."
normal job,02 Lead/Senior Frontend (ReactJS),"1,600 - 2,500 USD","Ho Chi Minh, District 10",Join a great international team doing products with high impact. We are looking for talented frontend developers (ReactJS specialists) to be part of...
normal job,Senior Backend NodeJS Dev. (JavaScript),You'll love it,"Ho Chi Minh, District 1",We are looking for an experienced Senior Backend Software Engineer specialized in NodeJS in Ho Chi Minh City. We have many upcoming opportunities with...
normal job,"Sr Front End Web Dev (JavaScript, HTML5)",You'll love it,"Ha Noi, Dong Da",We are looking for a Senior Frontend Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will...
normal job,"Frontend Engineer (JavaScript, English)",You'll love it,"Ho Chi Minh, District 3","MetaDefender Cloud is one of the leading online security tools. Mostly built using Javascript, the platform offers static file analysis and insight on..."
normal job,[All Level] 3 Ruby on Rails (JavaScript),"700 - 1,500 USD","Ho Chi Minh, District 12","Develop Frontend and Backend for web Design, build, and maintain efficient, reusable, and reliable code Work in a fast place, global, agile work..."
normal job,"3 Java Web Dev (Spring, JavaScript)",Up to 20m,"Ha Noi, Thanh Xuan","Xây dựng và phát triển các module cho Hệ thống học trực tuyến triển khai cho các Trường Đại học, Cơ quan tổ chức, Trung tâm ngoại ngữ … Phối hợp các..."
normal job,Back-end Developer (NodeJS),"1,000 - 2,000 USD","Ho Chi Minh, District 1",We are looking for Back-end developers joining us in our new outsourcing projects for Korean clients. Our current stack:  Javascript/Typescript...
normal job,Senior Fullstack Web Developer (Laravel),Up to 2000 usd,"Ho Chi Minh, Tan Binh","Design and build websites using PHP language (using Laravel framework). Be responsible for maintaining, expanding, and scaling our site. Working with UX..."
normal job,05 Mid/Sr Web Developers (.NET)~ 1800$,Up to 1800$,"Ha Noi, Cau Giay",1. Tham gia phát triển các sản phẩm lớn của công ty trên nền tảng .NET 2. Triển khai lập trình các module của sản phẩm theo kế hoạch được giao 3. Tham...
normal job,Full Stack - Java Web Developer,You'll love it,"Ho Chi Minh, Tan Binh","Position Summary Perform development activities to build and maintain WEB-based software systems using J2EE, SPRING frameworks, JavaScript frameworks..."
normal job,"Blockchain Developer (JavaScript, API)","1,500 - 3,000 USD","Ho Chi Minh, Binh Thanh",Xây dựng ứng dụng kết nối với nền tảng Ethereum cho công ty. Xây dựng ứng dụng liên quan đến sàn giao dịch và wallet (có kinh nghiệm về sàn giao dịch là...
normal job,"Frontend Engineer (JavaScript, ReactJS)",Upto 2000$,"Ha Noi, Hai Ba Trung","As a member of Upinus Dev Department, you would catchup with team on project you're doing daily, gathering updates from other products to stay tune with..."
